                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.0004,                0.60386,                 1.0136,                0.76306,                0.67219,                0.71594,                0.43589,                  1.377,                0.96062,                 1.2938,               0.008119,               0.008119,               0.008119
                     97,                0.99964,                0.61357,                 1.0097,                0.72914,                0.67857,                0.70113,                0.42479,                 1.3783,                0.95454,                 1.3121,              0.0080992,              0.0080992,              0.0080992
                     98,                0.98542,                0.61147,                 1.0053,                 0.7214,                0.67411,                0.70302,                0.43056,                 1.3745,                0.93399,                 1.3005,              0.0080794,              0.0080794,              0.0080794
                     99,                0.98374,                0.60748,                 1.0074,                0.76909,                0.67793,                0.72038,                0.44279,                 1.3505,                0.90724,                 1.2727,              0.0080596,              0.0080596,              0.0080596
                    100,                0.99475,                0.60364,                  1.009,                0.75381,                0.67283,                0.72398,                0.44514,                 1.3852,                0.90094,                 1.3107,              0.0080398,              0.0080398,              0.0080398
                    101,                0.96612,                0.59708,                 1.0003,                0.74894,                0.66964,                0.71243,                0.44312,                 1.3522,                0.92274,                 1.3027,                0.00802,                0.00802,                0.00802
                    102,                0.96328,                0.58932,                0.99869,                0.74316,                0.68048,                0.71264,                0.44218,                 1.3649,                0.94101,                 1.2984,              0.0080002,              0.0080002,              0.0080002
                    103,                0.96879,                0.59135,                0.99886,                0.76362,                0.66582,                 0.7199,                0.44143,                 1.3444,                0.92351,                 1.2889,              0.0079804,              0.0079804,              0.0079804
                    104,                0.95979,                0.59233,                0.99791,                0.74352,                0.67347,                0.71859,                0.43907,                 1.3566,                0.92836,                 1.2971,              0.0079606,              0.0079606,              0.0079606
                    105,                0.96216,                 0.5864,                0.99852,                 0.7401,                0.68367,                0.72281,                0.44204,                 1.3635,                0.93094,                 1.2974,              0.0079408,              0.0079408,              0.0079408
                    106,                  0.949,                0.57605,                0.98943,                0.73316,                0.69324,                0.71178,                0.44079,                 1.3436,                0.94421,                 1.2929,               0.007921,               0.007921,               0.007921
                    107,                  0.959,                0.58356,                0.99524,                0.77399,                 0.6443,                0.71101,                0.44102,                 1.3593,                0.92723,                 1.3142,              0.0079012,              0.0079012,              0.0079012
                    108,                0.95718,                0.58044,                0.99316,                0.75304,                0.69196,                0.72189,                0.45043,                 1.3317,                0.91648,                  1.297,              0.0078814,              0.0078814,              0.0078814
                    109,                0.94551,                0.57078,                0.98427,                0.76348,                 0.6773,                0.72295,                 0.4488,                 1.3266,                0.89137,                 1.2854,              0.0078616,              0.0078616,              0.0078616
                    110,                0.95084,                0.56948,                0.99205,                0.76054,                0.66518,                0.72431,                 0.4448,                  1.327,                0.91838,                  1.288,              0.0078418,              0.0078418,              0.0078418
                    111,                 0.9464,                0.57044,                0.99158,                0.76084,                0.67602,                0.72555,                0.44918,                 1.3368,                0.90337,                 1.2917,               0.007822,               0.007822,               0.007822
                    112,                0.94309,                0.57012,                 0.9865,                0.73259,                0.68622,                0.72142,                 0.4477,                 1.3305,                0.91749,                 1.2878,              0.0078022,              0.0078022,              0.0078022
                    113,                0.92627,                0.56398,                0.98438,                0.75298,                0.68626,                0.72109,                0.44899,                 1.3173,                0.90653,                 1.2916,              0.0077824,              0.0077824,              0.0077824
                    114,                0.93574,                0.56854,                 0.9845,                  0.769,                0.67938,                0.73542,                0.45919,                 1.2969,                0.89267,                 1.2748,              0.0077626,              0.0077626,              0.0077626
                    115,                 0.9298,                0.56452,                0.98456,                0.74413,                0.68941,                0.72426,                0.45346,                 1.3171,                0.89413,                  1.285,              0.0077428,              0.0077428,              0.0077428
                    116,                 0.9412,                0.57006,                0.98677,                0.76288,                0.68176,                0.72683,                0.45734,                 1.3191,                0.88914,                   1.29,               0.007723,               0.007723,               0.007723
                    117,                0.92669,                0.55548,                0.98804,                0.74844,                0.68875,                 0.7255,                0.45615,                 1.3259,                0.88896,                 1.2933,              0.0077032,              0.0077032,              0.0077032
                    118,                0.91326,                0.55573,                0.97751,                0.76242,                0.67745,                0.72016,                0.46141,                 1.3081,                0.88157,                 1.2717,              0.0076834,              0.0076834,              0.0076834
                    119,                0.92532,                0.56078,                0.98202,                0.78319,                0.67039,                0.72792,                0.45889,                 1.3226,                0.88577,                 1.2853,              0.0076636,              0.0076636,              0.0076636
                    120,                0.90605,                0.54497,                0.96836,                0.75172,                0.69514,                0.73405,                0.46641,                 1.3088,                0.87582,                 1.2898,              0.0076438,              0.0076438,              0.0076438
                    121,                0.90996,                0.54974,                 0.9757,                0.79025,                 0.6824,                0.73466,                0.46175,                 1.3169,                0.89045,                 1.3027,               0.007624,               0.007624,               0.007624
                    122,                0.89899,                0.54723,                0.96746,                0.73788,                0.70408,                0.73526,                0.46098,                 1.3066,                0.86695,                   1.28,              0.0076042,              0.0076042,              0.0076042
                    123,                 0.9196,                0.55014,                0.98099,                0.76236,                0.69564,                0.73609,                0.46333,                 1.3249,                0.90062,                 1.2812,              0.0075844,              0.0075844,              0.0075844
                    124,                0.90214,                0.54583,                0.97384,                0.74358,                0.69834,                0.72085,                0.45715,                 1.3185,                0.88762,                 1.2933,              0.0075646,              0.0075646,              0.0075646
                    125,                0.89326,                0.54573,                 0.9709,                0.78326,                0.67985,                0.74045,                0.46354,                 1.3068,                0.86943,                 1.2735,              0.0075448,              0.0075448,              0.0075448
                    126,                0.90284,                0.55755,                 0.9786,                0.73515,                0.70599,                0.71874,                0.45263,                 1.3181,                0.90195,                 1.2884,               0.007525,               0.007525,               0.007525
                    127,                0.88554,                0.53946,                0.96832,                0.75014,                0.69962,                0.72471,                0.46154,                 1.2869,                0.87664,                 1.2794,              0.0075052,              0.0075052,              0.0075052
                    128,                 0.8933,                0.54136,                0.96446,                0.75851,                0.68367,                0.72174,                0.45896,                 1.2948,                0.89283,                 1.2711,              0.0074854,              0.0074854,              0.0074854
                    129,                0.88618,                0.53464,                0.96371,                0.73975,                0.71237,                0.72729,                0.46642,                 1.2778,                0.87699,                   1.27,              0.0074656,              0.0074656,              0.0074656
                    130,                 0.8823,                0.53202,                0.96234,                0.77139,                0.68941,                0.73788,                0.46692,                 1.3021,                0.88084,                 1.2792,              0.0074458,              0.0074458,              0.0074458
                    131,                0.88249,                0.53508,                0.96486,                0.75266,                0.68701,                 0.7265,                0.46046,                 1.2878,                0.87916,                 1.2736,               0.007426,               0.007426,               0.007426
                    132,                0.88171,                0.52924,                0.96343,                0.73632,                0.69812,                0.72577,                0.46476,                 1.3118,                0.89655,                  1.292,              0.0074062,              0.0074062,              0.0074062
                    133,                0.87363,                0.53684,                0.96664,                0.73324,                0.70727,                0.72108,                0.46129,                 1.2988,                0.88911,                 1.2889,              0.0073864,              0.0073864,              0.0073864
                    134,                 0.8797,                0.52993,                0.96636,                0.77812,                0.69196,                0.74357,                0.47347,                 1.2911,                0.86015,                 1.2961,              0.0073666,              0.0073666,              0.0073666
                    135,                0.87961,                0.53218,                0.96615,                0.77762,                0.68689,                 0.7437,                 0.4806,                 1.2667,                0.85649,                 1.2796,              0.0073468,              0.0073468,              0.0073468
                    136,                0.87004,                0.52795,                0.95995,                0.75973,                0.69452,                0.73245,                0.47759,                 1.2663,                0.87181,                 1.2622,               0.007327,               0.007327,               0.007327
                    137,                0.87417,                0.53402,                 0.9581,                0.77656,                0.68048,                0.73717,                0.47028,                 1.2683,                0.86576,                 1.2835,              0.0073072,              0.0073072,              0.0073072
                    138,                0.85875,                 0.5204,                0.95542,                0.74646,                 0.7154,                0.73312,                0.46969,                 1.2789,                0.86621,                 1.2861,              0.0072874,              0.0072874,              0.0072874
                    139,                0.85813,                0.51325,                0.95796,                0.76334,                 0.6977,                0.73719,                0.47678,                 1.2769,                0.87796,                 1.2906,              0.0072676,              0.0072676,              0.0072676
                    140,                0.87342,                0.52628,                0.96335,                0.76927,                0.70169,                0.74404,                0.47885,                 1.2806,                0.85761,                 1.2778,              0.0072478,              0.0072478,              0.0072478
                    141,                0.85235,                0.51319,                0.95776,                0.77426,                 0.6926,                0.73814,                 0.4742,                 1.2753,                 0.8879,                 1.2684,               0.007228,               0.007228,               0.007228
                    142,                0.84761,                0.51246,                0.95675,                0.75491,                0.69643,                0.73835,                0.47723,                 1.2613,                0.88903,                  1.272,              0.0072082,              0.0072082,              0.0072082
